FID,region,prefecture,commune,canton,operateur,operateur_unitaire,lon,lat
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac4,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.19793,10.864122
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac5,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.199525,10.868651
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac5,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.199525,10.868651
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac6,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.199933,10.867818
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac6,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.199933,10.867818
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac7,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.204467,10.863693
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac7,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.204467,10.863693
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac8,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.199463,10.868625
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac8,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.199463,10.868625
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac9,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.194398,10.863112
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac9,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.194398,10.863112
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aca,Savanes,Tône,Tône 1,Dapaong,Togocom,Togocom,0.204092,10.863585
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6acb,Savanes,Tône,Tône 4,Korbongou,Moov,Moov,0.369653,10.942332
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6acc,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.192157,10.861663
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6acc,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.192157,10.861663
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6acd,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",Moov,0.332498,10.892733
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6acd,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",Togocom,0.332498,10.892733
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ace,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",Moov,0.33101,10.903838
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ace,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",Togocom,0.33101,10.903838
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6acf,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.377745,10.72544
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6acf,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.377745,10.72544
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad0,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",Moov,0.17976,11.02823
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad0,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",Togocom,0.17976,11.02823
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad1,Savanes,Tône,Tône 1,Dapaong,Nsp,Non renseigne,0.203644,10.864215
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad2,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.19917,10.868955
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad2,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.19917,10.868955
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad3,Savanes,Tône,Tône 2,Naki-Ouest,Nsp,Non renseigne,0.093385,10.906278
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad4,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.203957,10.863133
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad4,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.203957,10.863133
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad5,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.379981,10.727153
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad5,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.379981,10.727153
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad6,Savanes,Tône,Tône 3,Warkambou,Togocom,Togocom,-0.034732,10.78375
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad7,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,Moov,0.192225,11.032545
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad8,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.382568,10.728349
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad8,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.382568,10.728349
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ad9,Savanes,Tône,Tône 2,Naki-Ouest,Moov,Moov,0.091472,10.906165
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ada,Maritime,Zio,Zio 3,Agbélouvé,Nsp,Non renseigne,1.167355,6.674437
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6adb,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",Moov,1.169836,6.681036
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6adb,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",Togocom,1.169836,6.681036
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6adc,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",Moov,1.166335,6.672904
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6adc,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",Togocom,1.166335,6.672904
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6add,Plateaux,Akébou,Akébou 1,Kougnohou,Togocom,Togocom,0.793628,7.647734
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ade,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",Moov,1.161473,6.670965
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ade,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",Togocom,1.161473,6.670965
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6adf,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",Moov,0.020473,11.098993
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6adf,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",Togocom,0.020473,11.098993
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae0,Savanes,Cinkassé,Cinkassé 2,Biankouri,"Moov, Togocom",Moov,0.05283,11.015392
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae0,Savanes,Cinkassé,Cinkassé 2,Biankouri,"Moov, Togocom",Togocom,0.05283,11.015392
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae1,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",Moov,0.0198,11.098812
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae1,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",Togocom,0.0198,11.098812
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae2,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Moov,1.210843,6.42
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae2,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",Togocom,1.210843,6.42
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.204813,10.864157
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.204813,10.864157
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae4,Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",Moov,0.267025,10.944622
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae4,Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",Togocom,0.267025,10.944622
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae5,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.204413,10.863587
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae5,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.204413,10.863587
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae6,Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",Moov,0.266925,10.944347
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae6,Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",Togocom,0.266925,10.944347
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae7,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Moov,0.298353,10.976245
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae7,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Togocom,0.298353,10.976245
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae8,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.379863,10.727067
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae8,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.379863,10.727067
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae9,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.204011,10.863059
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ae9,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.204011,10.863059
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aea,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.196797,10.872485
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aea,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.196797,10.872485
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aeb,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",Moov,0.267569,10.944004
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aeb,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",Togocom,0.267569,10.944004
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aec,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",Moov,0.267499,10.943975
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aec,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",Togocom,0.267499,10.943975
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aed,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.205423,10.864293
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aed,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.205423,10.864293
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aee,Savanes,Tône,Tône 4,Korbongou,Nsp,Non renseigne,0.351774,10.910087
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aef,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.203887,10.864782
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aef,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.203887,10.864782
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af0,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Moov,0.092949,10.906371
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af0,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Togocom,0.092949,10.906371
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.179218,10.854685
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.179218,10.854685
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af2,Savanes,Tône,Tône 2,Naki-Ouest,Togocom,Togocom,0.092954,10.906372
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af3,Savanes,Tône,Tône 3,Warkambou,Moov,Moov,0.003543,10.800402
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af4,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Moov,0.358804,10.906379
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af4,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Togocom,0.358804,10.906379
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af5,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Moov,0.358303,10.906149
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af5,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Togocom,0.358303,10.906149
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af6,Savanes,Tône,Tône 4,Korbongou,Moov,Moov,0.358147,10.905962
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af7,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",Moov,0.278682,10.8946
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af7,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",Togocom,0.278682,10.8946
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af8,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Moov,0.095004,10.905691
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af8,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Togocom,0.095004,10.905691
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af9,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Moov,0.093444,10.906217
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6af9,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Togocom,0.093444,10.906217
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6afa,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Moov,0.092375,10.906817
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6afa,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Togocom,0.092375,10.906817
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6afb,Savanes,Tône,Tône 2,Naki-Ouest,Moov,Moov,0.092283,10.906604
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6afc,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Moov,0.299838,10.9316
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6afc,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Togocom,0.299838,10.9316
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6afd,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Moov,0.092054,10.906532
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6afd,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",Togocom,0.092054,10.906532
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6afe,Savanes,Oti-Sud,Oti-Sud 1,Mogou,Nsp,Non renseigne,0.644152,10.383213
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aff,Savanes,Oti,Oti 1,Faré,"Moov, Togocom",Moov,0.393441,10.179847
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aff,Savanes,Oti,Oti 1,Faré,"Moov, Togocom",Togocom,0.393441,10.179847
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b00,Savanes,Tône,Tône 2,Naki-Ouest,Moov,Moov,0.093792,10.906099
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b01,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Moov,0.30464,10.91478
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b01,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Togocom,0.30464,10.91478
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b02,Savanes,Tône,Tône 1,Poissongui,Moov,Moov,0.201762,11.057392
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b03,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,"Moov, Togocom",Moov,0.17861,10.72918
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b03,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,"Moov, Togocom",Togocom,0.17861,10.72918
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b04,Savanes,Tône,Tône 2,Naki-Ouest,Moov,Moov,0.114851,10.914356
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b05,Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",Moov,0.401197,10.244228
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b05,Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",Togocom,0.401197,10.244228
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b06,Savanes,Tône,Tône 4,Louanga,Togocom,Togocom,0.328351,10.9102
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b07,Savanes,Tône,Tône 4,Louanga,Togocom,Togocom,0.386496,10.83139
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b08,Savanes,Tône,Tône 1,Kourientre,Togocom,Togocom,0.22509,10.977552
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b09,Savanes,Tône,Tône 4,Korbongou,Moov,Moov,0.326935,10.910694
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b0a,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Nsp,Non renseigne,0.012975,11.100688
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b0b,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Moov,0.304669,10.914703
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b0b,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",Togocom,0.304669,10.914703
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b0c,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",Moov,0.314625,10.900095
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b0c,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",Togocom,0.314625,10.900095
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6b0d,Savanes,Oti,Oti 1,Mango,"Moov, Togocom",Moov,0.472685,10.35881
