adm3_name,adm3_pcode,adm2_name,adm1_name,area_sqkm,center_lat,center_lon,dist_agence_km,dist_datacenter_km
Danyi Kpeto-Evita,TG040402,Danyi,Plateaux,46.63012606,7.2616505,0.74323575,14.400262075805593,129.10454508626088
Dapaong,TG051602,Tone,Savanes,165.31597873,10.880235,0.19746596,0.7494742923122564,530.5505489328076
Datcha,TG040902,Ogou,Plateaux,98.1093104,7.4069995,1.18572572,10.372676833448715,134.35532786294968
Davie,TG030805,Zio,Maritime,69.94209047,6.3561175,1.16549058,7.199128042193923,18.800517538480705
Defale,TG020504,Doufelgou,Kara,68.40373176,9.8860155,1.07934099,8.141556833697228,408.79829762122023
Diguengue,TG010105,Blitta,Centrale,97.867113,8.0641155,0.63998792,50.74390996046835,216.4544461369448
Dikpeleou,TG010106,Blitta,Centrale,27.19956181,8.183186,0.61447923,46.71686167212794,229.87794636981056
Dimori,TG020205,Bassar,Kara,284.1622148,9.170561,0.57314702,24.83517577642427,336.8945672038428
Djagble,TG030806,Zio,Maritime,32.67444796,6.2388635,1.2881106,1.7478446648738026,9.908088239121495
Djamde,TG020704,Kozah,Kara,157.00643847,9.490575,1.03201031,18.200777651678038,365.3373781580953
Djarkpanga,TG010202,Plaine du Mo,Centrale,294.45483295,8.779051,0.52168898,55.39144964405858,296.1011954537509
Djemegni,TG040604,Haho,Plateaux,203.60055166,7.0311175,1.3160669,17.511888013868766,93.4665516990776
Djon,TG041001,Akebou,Plateaux,187.394431,7.7387945,0.80549589,42.834829662265385,176.83027570019803
Doufouli,TG010107,Blitta,Centrale,144.82694129,8.3049165,0.90768357,11.725731358035196,236.05499990261612
Doukpergou,TG051505,Tandjoare,Savanes,64.94575532,10.635806,0.05960501,29.675247599834044,507.75569970482644
Doume,TG040202,Wawa,Plateaux,58.39055864,7.5563435,0.77746771,47.21846044491732,158.30762986045914
Dzolo,TG030104,Ave,Maritime,123.4217079,6.380591,0.90563391,6.3678840766552485,39.27992088934118
Dzrekpo,TG030604,Vo,Maritime,57.58431778,6.4402515,1.56889204,9.009268221446776,48.10787640549318
Ekpegnon,TG040104,Amou,Plateaux,142.15177543,7.307489,0.97933512,20.473505666408247,125.96977937738424
Elavagnon,TG040502,Est-Mono,Plateaux,289.61591573,7.951309,1.34260311,26.412111319681518,195.0581394131216
Elavagnon/Atigba,TG040404,Danyi,Plateaux,192.72190878,7.2695515,0.69932985,15.617501722427207,131.9177962621052
Esse Godjin,TG030703,Yoto,Maritime,77.18600385,6.7144905,1.54500252,25.917769235830153,68.50782449973669
Evou,TG040105,Amou,Plateaux,39.9581071,7.524058,1.02273753,27.867447195284544,148.74983162903462
Fare,TG051402,Oti,Savanes,48.89351522,10.1739515,0.38409272,21.959100440849898,449.8260517775163
Fazao,TG010304,Sotouboua,Centrale,308.47450577,8.7494845,0.78892313,29.179284900779464,286.66600905249805
Gadja,TG040311,Agou,Plateaux,207.46754634,6.803169,0.84803928,15.33882274656114,78.61035008396998
Galangashie,TG051403,Oti,Savanes,445.64436057,10.485587,0.34012209,19.904646096240743,484.57811819267823
Game,TG030807,Zio,Maritime,208.40690193,6.748451,1.16453913,8.118433663812944,61.70846812565553
Game,TG040106,Amou,Plateaux,340.84807436,7.771153,1.06801705,13.788094894676231,175.32606924188468
Ganave/Fiata,TG030406,Lacs,Maritime,22.93776515,6.3263905,1.63842395,18.73681989041154,49.507081026808905
Gando,TG051901,Oti-Sud,Savanes,351.65102478,10.295577,0.78420746,5.726938356383079,456.31898176805106
Gape-Centre,TG030809,Zio,Maritime,262.14839081,6.6020945,1.07264145,13.18107980084827,47.83829522693792
Gape Kpodji,TG030808,Zio,Maritime,111.38099797,6.708993,0.94511796,24.806165191309947,64.28359664730797
Gbadjahe,TG040503,Est-Mono,Plateaux,164.63660748,7.8529635,1.34766003,19.65539186440527,184.25753561139373
Gbaladze,TG040703,Kpele,Plateaux,32.94298358,7.212238,0.76220256,9.508472244585969,123.25700528674531
Gbalave,TG041203,Kloto,Plateaux,20.35007374,6.867997,0.59558739,5.598959138857216,101.12799647786005
Gbatope,TG030810,Zio,Maritime,269.83147349,6.4873215,1.28365465,11.802411431572235,33.570126585672185
Gbende,TG041002,Akebou,Plateaux,110.44042057,7.76183,0.68044707,56.5355604239378,183.25113672209542
Gblainvie,TG030811,Zio,Maritime,111.24522254,6.497109,1.11177847,14.383376209925128,35.45295853541206
Gboto,TG030704,Yoto,Maritime,60.35619288,6.7166405,1.48255648,29.305497486850022,65.26121294323424
Glei,TG040903,Ogou,Plateaux,455.49961696,7.2810905,1.24406962,9.577686097975208,120.45113722378672
Glidji,TG030407,Lacs,Maritime,40.04226344,6.2709135,1.60575814,24.969806151676796,44.4822557557943
Glitto,TG041104,Anie,Plateaux,329.67837578,7.6021915,1.56282627,44.32361111502037,160.6608248579443
Gnagna,TG040904,Ogou,Plateaux,76.22693236,7.5037845,1.16031023,20.815663741693687,145.1411883138705
Gnoaga,TG051704,Cinkasse,Savanes,5.85951685,11.111916,-0.09657142,12.9349500149671,563.0898511668895
Gobe/Eketo/Gbadi N'Kugna,TG040203,Wawa,Plateaux,368.03074071,7.454922,0.75501099,35.817760665074786,148.48383669779474
Goubi,TG010405,Tchamba,Centrale,154.33528576,8.6302145,1.50340079,16.18936524207901,271.51621421697394
Gouloungoussi,TG051705,Cinkasse,Savanes,15.00109089,11.117492,-0.12001425,15.558525480298695,564.3561155439327
Goundoga,TG051506,Tandjoare,Savanes,33.71896761,10.7145015,0.16995958,16.842770813493875,513.3157939147568
Govie,TG040704,Kpele,Plateaux,43.74019724,7.1548805,0.74436355,2.9123426767516967,118.32850376669367
Guerin-Kouka,TG020402,Dankpen,Kara,441.03967507,9.729194,0.56844487,6.395840460593529,397.6259695532869
Hahotoe,TG030605,Vo,Maritime,38.92518801,6.3964085,1.38973692,18.531510138460494,29.958832855511574
Hanyigba,TG041204,Kloto,Plateaux,34.24041928,6.898516,0.60118267,3.7039639526452084,103.24005270191054
Helota,TG020603,Keran,Kara,201.44932607,9.9136215,0.74515651,29.18950875029757,414.83087784269134
Hiheatro,TG040107,Amou,Plateaux,221.32544293,7.581222,1.04808401,25.442668283076866,154.65913930956236
Hompou,TG030204,Bas-Mono,Maritime,40.08802423,6.4188905,1.71718071,12.947337193154357,61.296030761558654
Houdou,TG040905,Ogou,Plateaux,67.48655252,7.6041065,1.1774126,17.30898276853384,156.17155943453025
Imle,TG040108,Amou,Plateaux,95.7897072,7.4623525,0.99325036,24.921671501182317,142.51242126009097
Kaboli,TG010406,Tchamba,Centrale,935.54111888,8.5985825,1.35914417,30.484783569146547,266.60722439548607
Kabou,TG020206,Bassar,Kara,388.4234365,9.507899,0.78489463,6.783090105496176,369.74993439287744
Kadambara,TG010503,Tchaoudjo,Centrale,323.92108263,8.8192765,1.24475762,19.64835875158251,290.55010973491846
Kadjalla,TG020505,Doufelgou,Kara,100.9149605,9.8031745,0.93883608,19.014481261926797,400.52062608659696
Kagnigbara,TG010203,Plaine du Mo,Centrale,235.54573333,8.9020805,0.64652576,42.24595773732898,306.1573948010383
Kalanga,TG020207,Bassar,Kara,122.49660587,9.2734475,0.67252288,11.945353607206497,345.968446135245
Kame,TG040705,Kpele,Plateaux,75.58346203,7.229914,0.85264315,17.236646544269934,121.41847487429308
Kamina,TG040504,Est-Mono,Plateaux,581.69319712,8.101369,1.56810809,55.64438031531885,214.74781290666726
Kamina,TG041003,Akebou,Plateaux,358.08055235,7.93551,0.91509588,35.97937545313675,195.55756265975816
Kande,TG020604,Keran,Kara,282.69426768,9.976506,1.07890567,3.4957339459352283,418.80377173410034
Kaniamboua,TG010305,Sotouboua,Centrale,31.93987984,8.604154,1.00262794,5.064522646782234,267.74580576706217
Kantindi,TG051603,Tone,Savanes,82.8000414,10.91796,0.26895922,8.58711661792066,533.0290376415425
Katchamba,TG020403,Dankpen,Kara,135.6674787,9.8740735,0.51456723,23.10238406737823,414.47281512758906
Katchenke,TG010108,Blitta,Centrale,115.38520462,8.253238,0.69626505,35.68479422882522,234.9538912177934
Katome,TG040802,Moyen-Mono,Plateaux,24.0583501,7.3725795,1.61528325,38.73918643739555,137.92541340584359
Katore,TG040906,Ogou,Plateaux,277.38161312,7.383606,1.31635783,18.372014934829906,132.24198512057347
Kazaboua,TG010306,Sotouboua,Centrale,202.56353899,8.420729,1.14280383,16.932302500315778,246.56837256314907
Kemeni,TG010504,Tchaoudjo,Centrale,117.16222311,9.1958185,1.2783,17.911929496499226,332.25470554662724
Kemerida,TG020302,Binah,Kara,44.31056683,9.6171045,1.3493335,19.296750907354756,379.0694348178096
Kessibo,TG040204,Wawa,Plateaux,107.66663866,7.640493,0.61540835,57.69171315930386,173.20199732765263
Ketao,TG020303,Binah,Kara,48.82683483,9.6727615,1.32053667,20.04423054006788,385.1114142656411
Keve,TG030105,Ave,Maritime,105.78303589,6.478304,1.01955256,11.496491587127485,38.08660662337559
Kidjaboun,TG020404,Dankpen,Kara,340.62671867,9.7710575,0.44159775,20.54086967562968,404.9006718477142
Kini-Kondji,TG030705,Yoto,Maritime,29.31897559,6.5853885,1.54829289,13.331984555702979,57.23734018747171
Klabe Efoukpa,TG040205,Wawa,Plateaux,196.44389187,7.6021335,0.73730889,52.012763889082414,164.50337768892655
Koffiti,TG010109,Blitta,Centrale,182.82961489,8.020972,1.14081409,28.892995592452113,202.3862071141332
Koka,TG020506,Doufelgou,Kara,19.74790731,9.789666,1.14633846,4.980110908277164,397.9380040318375
Kolina,TG010505,Tchaoudjo,Centrale,110.34050447,9.0832715,1.17894132,10.748363790969762,319.75297091834585
Kolokope,TG041105,Anie,Plateaux,224.20016547,7.765361,1.29423019,11.135601853989158,174.19601425311615
Komah,TG010506,Tchaoudjo,Centrale,95.50859639,8.996462,1.16250722,2.715306945360618,310.17919747566634
Korbongou,TG051604,Tone,Savanes,92.69024857,10.945408,0.32087691,15.016470343030534,534.9206429967661
Kougnohou,TG041004,Akebou,Plateaux,96.48751882,7.6911035,0.81062451,42.916895473248324,171.58587275787025
Koulfiekou,TG020405,Dankpen,Kara,167.93817176,9.9347875,0.41119336,34.92139129309508,423.3169075874474
Kouma,TG041205,Kloto,Plateaux,59.88871052,6.98502,0.57993732,9.901339998040973,112.10258444692533
Koumea,TG020705,Kozah,Kara,50.77520106,9.713715,1.20418464,12.023434866286,389.46643848894416
Koumonde,TG020105,Assoli,Kara,58.65125951,9.2799335,1.27996485,9.109265118576886,341.5602457731032
Koumongou,TG051902,Oti-Sud,Savanes,115.78858281,10.159242,0.5004213,22.035713524332788,445.7835380048538
Koundjoare,TG051302,Kpendjal,Savanes,225.79584901,10.9275,0.6408151,48.24100017885602,527.5732064646725
Kountoire,TG051903,Oti-Sud,Savanes,241.61246141,10.089755,0.62816625,29.775578103321454,435.9022891509566
Kourientre,TG051605,Tone,Savanes,41.99613422,11.0065525,0.23350296,14.824914643689493,543.412170656582
Koussountou,TG010407,Tchamba,Centrale,470.07729505,8.8473625,1.49189538,15.766843192386709,295.2410662363087
Koutchitcheou,TG020406,Dankpen,Kara,43.17752585,9.626668,0.76722978,18.668035252819433,383.0313029512603
Koutougou,TG020605,Keran,Kara,179.74854496,10.0600605,1.21473151,20.981852892719328,427.77574857032835
Kouve,TG030706,Yoto,Maritime,317.66625095,6.724689,1.4022068,26.594486299968384,62.52339990537311
Kovie,TG030812,Zio,Maritime,48.34605211,6.3331795,1.08878846,10.36117852061493,20.654930411585845
Kpadape,TG041206,Kloto,Plateaux,65.80110344,6.8009835,0.59968711,11.638999590058896,95.46178443879607
Kpaha,TG020507,Doufelgou,Kara,100.75308972,9.918094,1.14090286,10.288449154514918,412.1535672501489
Kpalave,TG041005,Akebou,Plateaux,95.06504915,7.832448,0.83936848,39.70331871659276,186.0028988528859
Kpangalam,TG010507,Tchaoudjo,Centrale,284.18731645,9.0958355,1.03940413,15.372730000067865,321.695989614023
Kparatao,TG010508,Tchaoudjo,Centrale,142.0433809,8.9493685,1.24270111,10.46558262363163,304.935807448771
Kpassouade,TG010509,Tchaoudjo,Centrale,80.89558582,9.039479,1.31353781,11.370011902683352,315.07875283296414
Kpategan,TG040109,Amou,Plateaux,179.36748937,7.360128,1.04705527,13.875864611358395,130.4196841577478
Kpedome,TG040605,Haho,Plateaux,598.09111608,7.071503,1.11320004,12.724736059093296,97.82660676267804
Kpegnon/Haito,TG040606,Haho,Plateaux,161.64913097,7.187081,0.9940611,18.91691568725476,112.60506597673923
Kpekpleme,TG040803,Moyen-Mono,Plateaux,97.80843708,7.3007125,1.58717434,30.89026796770104,129.40213837841125
Kpele-Centre,TG040706,Kpele,Plateaux,114.70026183,7.180428,0.84874027,14.041194437620264,116.40798501693827
Kpele-Dawlotou,TG040707,Kpele,Plateaux,246.24444989,7.0136365,0.84043889,17.782635922975658,99.67051562794909
Kpele-Dutoe,TG040708,Kpele,Plateaux,29.65514203,7.261518,0.8966666,23.219161665588203,123.26306675468786
Kpele-Nord,TG040709,Kpele,Plateaux,95.46570991,7.2898355,0.869168,23.17053361655762,127.14354902559413
Kpendjaga / Papri,TG051801,Naki-Ouest,Savanes,47.89149136,10.9937475,0.42424631,27.493681235646598,538.2101299306021
Kpessi,TG040505,Est-Mono,Plateaux,242.47174788,8.1172915,1.30250948,40.654070389204115,213.11696526426363
Kpete Bena,TG040206,Wawa,Plateaux,123.87617207,7.438855,0.57934915,37.868089355933925,154.5789299370545
Kpetsou,TG030205,Bas-Mono,Maritime,35.1716949,6.5403915,1.58603307,6.844290061659115,56.54291161842952
Kpime,TG041207,Kloto,Plateaux,70.57952725,7.008336,0.63285968,10.610373438530347,110.64144730207511
Kpome,TG030813,Zio,Maritime,82.50004376,6.339109,1.34204796,10.289435958056627,21.716489514180598
Kri-Kri,TG010408,Tchamba,Centrale,137.52206254,9.2061325,1.45717845,20.881952355561086,334.3986464664601
Lama,TG020706,Kozah,Kara,71.01199063,9.591018,1.19489025,4.691958566064384,375.89898637877207
Lama-Dessi,TG020304,Binah,Kara,39.88286514,9.7297905,1.26170989,17.333694345430306,391.2769451276969
Lama-Tessi,TG010510,Tchaoudjo,Centrale,469.86990034,8.870509,1.08031773,13.370590041640972,296.5607132852788
Landa,TG020707,Kozah,Kara,31.89149616,9.6679565,1.27208708,16.115170214577677,384.4551447776246
Landa-Pozenda/Kpinzinde,TG020708,Kozah,Kara,146.50040617,9.494204,1.28570414,12.164262639053982,365.26840661352185
Langabou,TG010110,Blitta,Centrale,225.58189205,8.1394155,1.16451933,28.004619509714257,215.3972953360637
Larni,TG010409,Tchamba,Centrale,75.47808576,9.086152,1.42174337,7.135760810798972,320.8706284549169
Lassa,TG020709,Kozah,Kara,67.0008606,9.608007,1.23401773,8.30248534296757,377.777936437345
Lavie/ Apedome,TG041208,Kloto,Plateaux,83.51006711,7.032039,0.65056944,13.385478838474427,111.68882021481787
Legbassito,TG030903,Agoe-Nyive,Maritime,24.03144563,6.266788,1.14797176,0.7776482215669306,10.816358735127082
Leon,TG020508,Doufelgou,Kara,78.5804129,9.6860495,0.93049003,21.374209404250102,387.6754725627757
Loko,TG051404,Oti,Savanes,78.9787881,10.5111295,0.22895824,31.117683877554903,489.92656626085966
Loko,TG051507,Tandjoare,Savanes,33.12940845,10.595282,0.25195911,30.1061449360904,498.4621743915552
Lokpano,TG051508,Tandjoare,Savanes,71.6258994,10.594893,0.11913572,31.08245816738481,501.75082409843276
Lome Commune,TG030501,Lome Commune,Maritime,104.57055,6.15666383,1.24556024,0.7236560835935449,4.915199200210209
Lotogou/Warkambou,TG051606,Tone,Savanes,122.6384719,10.8304695,-0.00793308,23.414653951555746,530.4803842188143
Louanga,TG051607,Tone,Savanes,65.32923762,10.889621,0.33237456,14.246244440982233,528.6195681681479
M'Poti,TG010111,Blitta,Centrale,264.64134095,8.3045665,0.80184987,23.077608074032973,237.96781305322276
Mamproug,TG051509,Tandjoare,Savanes,99.34828477,10.6694205,-0.03167076,33.49429216628975,513.9616115533514
Mandouri,TG051303,Kpendjal,Savanes,372.9438971,10.885635,0.80339601,61.59333868101897,521.1011675415737
Manga,TG020208,Bassar,Kara,73.99154392,9.5655165,0.7045408,17.105933294879858,377.2931724180671
Mango,TG051405,Oti,Savanes,341.26365717,10.3597985,0.4361702,3.2372278755153006,468.8885259526762
Massedena,TG020509,Doufelgou,Kara,89.51140067,9.9713175,1.25455257,21.94838099030684,417.98170451573634
Mission-Tove,TG030814,Zio,Maritime,56.52374973,6.300966,1.12641845,4.915543124954334,15.252886278178618
Mogou,TG051904,Oti-Sud,Savanes,429.8487155,10.4521835,0.65546863,16.664640231417263,475.19283080495416
Mome-Hounkpati,TG030606,Vo,Maritime,42.03791153,6.502912,1.55479811,8.214083448143615,51.19628953374252
Moretan,TG040506,Est-Mono,Plateaux,738.25204025,8.199399,1.40608624,46.41865609382206,222.99315630544447
Nadjoundi,TG051706,Cinkasse,Savanes,27.7251985,10.99867,0.19407213,13.603414818417129,543.4433244374168
