lon,lat,dist_km,dist_moov_km,dist_togocom_km
1.4119,7.2675,8.3,10.4,8.3
1.4118,7.2855,6.7,10.7,6.7
1.4299,7.3037,7.4,10.7,7.4
1.4479,7.3218,8.9,10.6,8.9
0.9767,7.3923,10.2,10.6,10.2
0.9947,7.4105,10.0,10.0,10.3
1.0671,7.4289,10.0,10.0,10.0
1.4292,7.5026,6.8,6.8,10.0
1.411,7.5206,9.6,9.6,10.8
1.4291,7.5207,8.6,8.6,11.7
1.4472,7.5208,7.9,7.9,10.0
1.3928,7.5387,10.5,10.5,10.5
1.4109,7.5387,11.3,11.3,11.9
1.4291,7.5388,10.4,10.4,11.7
1.6465,7.5395,10.7,10.7,10.7
1.3746,7.5567,10.9,10.9,10.9
1.3927,7.5568,12.0,12.0,12.0
1.4109,7.5568,11.3,11.3,11.3
1.429,7.5569,10.2,10.2,10.2
1.6284,7.5576,11.6,11.6,11.6
1.6465,7.5576,12.4,12.4,12.4
1.3383,7.5746,10.9,10.9,10.9
1.3564,7.5747,11.3,11.3,11.3
1.3746,7.5748,11.4,11.4,11.4
1.3927,7.5748,11.3,11.3,11.3
1.6283,7.5756,11.4,11.4,11.4
1.6464,7.5757,13.4,13.4,13.4
1.6282,7.5937,11.4,11.4,11.4
1.6464,7.5938,13.4,13.4,13.4
1.6282,7.6118,11.7,11.7,11.7
1.6463,7.6119,13.7,13.7,13.7
1.61,7.6298,10.5,10.5,10.5
1.6281,7.6299,12.3,12.3,12.3
1.6099,7.6479,11.4,11.4,11.4
1.6281,7.648,13.1,13.2,13.1
0.903,7.6632,3.0,10.1,3.0
1.5917,7.666,11.1,11.1,11.1
1.6099,7.666,12.6,12.6,12.6
1.628,7.6661,14.2,14.2,14.2
1.5736,7.684,11.0,11.0,11.0
1.5917,7.684,12.7,12.7,12.7
1.6098,7.6841,14.0,14.0,14.0
1.6279,7.6842,15.4,15.4,15.4
0.8847,7.6992,4.2,10.4,4.2
1.5735,7.7021,11.5,11.5,11.5
1.5916,7.7021,13.4,13.4,13.4
1.6098,7.7022,15.4,15.4,15.4
1.6279,7.7022,16.8,16.8,16.8
0.8846,7.7173,2.8,10.4,2.8
0.9027,7.7174,1.5,10.5,1.5
1.5553,7.7201,10.5,10.5,10.5
1.5734,7.7202,12.2,12.2,12.2
1.5916,7.7202,14.1,14.1,14.1
1.6097,7.7203,16.0,16.0,16.0
1.6278,7.7203,17.9,17.9,17.9
0.8845,7.7354,2.4,10.3,2.4
0.9026,7.7355,0.7,11.4,0.7
1.0839,7.7363,8.6,8.6,10.0
1.5552,7.7382,10.2,10.2,10.2
1.5734,7.7382,12.2,12.2,12.2
1.5915,7.7383,14.2,14.2,14.2
1.6096,7.7384,16.2,16.2,16.2
1.6278,7.7384,18.2,18.2,18.2
0.8844,7.7535,3.5,10.7,3.5
0.9025,7.7535,2.6,12.1,2.6
0.9206,7.7536,3.0,11.0,3.0
1.5552,7.7563,10.2,10.2,10.2
1.5733,7.7563,12.2,12.2,12.2
1.5914,7.7564,14.2,14.2,14.2
1.6096,7.7564,16.2,16.2,16.2
1.6277,7.7565,18.2,18.2,18.2
0.9024,7.7716,4.6,10.4,4.6
0.9206,7.7717,4.8,11.5,4.8
0.9387,7.7718,5.8,11.4,5.8
0.9568,7.7719,5.8,10.5,5.8
1.0112,7.7721,8.4,10.0,8.4
1.0293,7.7722,10.0,10.2,10.0
1.5551,7.7743,10.6,10.6,10.6
1.5733,7.7744,12.5,12.5,12.5
1.5914,7.7745,14.5,14.5,14.5
1.6095,7.7745,16.4,16.4,16.4
1.6277,7.7746,18.4,18.4,18.4
0.9205,7.7898,6.7,10.1,6.7
0.9386,7.7899,7.5,11.7,7.5
0.9567,7.79,7.8,12.4,7.8
0.9749,7.7901,8.1,11.9,8.1
0.993,7.7901,8.8,11.8,8.8
1.0111,7.7902,9.9,10.6,9.9
1.5551,7.7924,11.4,11.4,11.4
1.5732,7.7925,13.2,13.2,13.2
1.5913,7.7926,15.1,15.1,15.1
1.6095,7.7926,16.7,16.7,16.7
1.6276,7.7927,17.1,17.1,17.1
0.9385,7.808,9.3,10.6,9.3
0.9566,7.8081,9.8,12.4,9.8
0.9748,7.8081,10.0,13.6,10.0
0.9929,7.8082,10.6,11.7,10.6
1.5369,7.8105,10.8,10.8,10.8
1.555,7.8105,12.4,12.4,12.4
1.5731,7.8106,14.1,14.1,14.1
1.5913,7.8106,14.6,14.6,14.6
1.6094,7.8107,14.8,14.8,14.8
1.6275,7.8108,15.2,15.2,15.2
0.9566,7.8261,11.8,11.8,11.8
0.9747,7.8262,12.0,13.3,12.0
0.9928,7.8263,11.3,11.3,11.3
1.5005,7.8284,10.0,10.0,10.0
1.5187,7.8285,11.0,11.0,11.0
1.5368,7.8285,12.3,12.3,12.3
1.5549,7.8286,13.2,13.2,13.2
1.5731,7.8287,12.8,12.8,12.8
1.5912,7.8287,12.6,12.6,12.6
1.6093,7.8288,12.8,12.8,12.8
1.6275,7.8288,13.3,13.3,13.3
0.9565,7.8442,11.5,11.5,11.5
0.9746,7.8443,13.3,13.3,13.3
0.9927,7.8444,11.3,11.3,11.3
1.5367,7.8466,10.5,10.5,10.5
1.5549,7.8467,11.3,11.3,11.3
1.573,7.8468,10.8,10.8,10.8
1.5911,7.8468,10.6,10.6,10.6
1.6093,7.8469,10.8,10.8,10.8
1.6274,7.8469,11.4,11.4,11.4
0.9564,7.8623,11.5,11.5,11.5
0.9745,7.8624,11.9,12.6,11.9
0.9926,7.8625,10.6,11.4,10.6
0.9563,7.8804,10.3,11.8,11.8
0.9744,7.8805,10.5,11.1,10.5
0.9562,7.8984,9.3,11.4,11.2
0.6297,7.9148,10.4,10.9,10.4
0.9561,7.9165,8.7,10.6,10.6
0.6115,7.9328,9.5,13.7,9.5
0.6296,7.9329,8.5,12.6,8.5
0.6478,7.933,7.9,11.6,7.9
0.6659,7.9331,7.9,10.9,7.9
0.956,7.9346,8.5,10.1,10.1
0.6114,7.9508,7.9,15.3,7.9
0.6295,7.951,6.7,14.3,6.7
0.6477,7.9511,6.0,13.5,6.0
0.6658,7.9512,5.9,12.4,5.9
0.6839,7.9513,6.4,11.1,6.4
0.7021,7.9514,7.5,10.2,7.5
0.6113,7.9689,6.6,17.0,6.6
0.6294,7.969,5.1,16.1,5.1
0.6476,7.9691,4.1,15.2,4.1
0.6657,7.9692,3.9,13.9,3.9
0.6838,7.9693,4.7,12.8,4.7
0.702,7.9694,6.1,12.0,6.1
0.7201,7.9695,7.7,11.5,7.7
0.7382,7.9696,9.5,11.3,9.5
0.7564,7.9697,11.4,11.4,11.4
0.7745,7.9698,10.1,10.1,10.1
0.9377,7.9707,7.7,10.4,10.4
0.6112,7.987,5.6,18.8,5.6
0.6293,7.9871,3.8,17.9,3.8
0.6475,7.9872,2.3,16.7,2.3
0.6656,7.9873,2.0,15.6,2.0
0.6837,7.9874,3.3,14.6,3.3
0.7019,7.9875,5.0,13.9,5.0
0.72,7.9876,6.9,13.5,6.9
0.7381,7.9877,8.9,13.3,8.9
0.7563,7.9878,10.8,12.8,10.8
0.7744,7.9879,11.2,11.2,11.2
0.9195,7.9887,7.6,10.0,10.0
0.9376,7.9888,8.9,11.2,11.2
0.6111,8.0051,5.3,20.6,5.3
0.6292,8.0052,3.3,19.5,3.3
0.6474,8.0053,1.3,18.3,1.3
0.6655,8.0054,0.7,17.3,0.7
0.6836,8.0055,2.7,16.5,2.7
0.7018,8.0056,4.7,15.8,4.7
0.7199,8.0057,6.7,15.4,6.7
0.738,8.0058,8.7,15.3,8.7
0.7562,8.0059,10.7,14.0,10.7
0.7743,8.006,12.6,12.6,12.6
0.7924,8.0061,11.3,11.3,11.3
0.8106,8.0062,10.2,10.2,10.2
0.9375,8.0068,10.3,10.3,10.3
0.611,8.0231,5.7,22.3,5.7
0.6291,8.0233,4.0,21.1,4.0
0.6472,8.0234,2.5,20.0,2.5
0.6654,8.0235,2.3,19.1,2.3
0.6835,8.0236,3.5,18.3,3.5
0.7017,8.0237,5.2,17.8,5.2
0.7198,8.0238,7.0,17.4,7.0
0.7379,8.0239,9.0,16.3,9.0
0.7561,8.024,10.9,14.4,10.9
0.7742,8.0241,12.6,12.6,12.6
0.7923,8.0242,10.9,10.9,10.9
0.6109,8.0412,6.7,23.9,6.7
0.629,8.0413,5.3,22.8,5.3
0.6471,8.0414,4.4,21.8,4.4
0.6653,8.0415,4.2,20.9,4.2
0.6834,8.0416,5.0,20.2,5.0
0.7016,8.0417,6.3,19.6,6.3
0.7197,8.0418,7.9,17.6,7.9
0.7378,8.0419,9.6,15.7,9.6
0.756,8.042,11.5,13.7,11.5
0.7741,8.0421,11.8,11.8,11.8
0.6108,8.0593,8.1,25.6,8.1
0.6289,8.0594,7.0,24.5,7.0
0.647,8.0595,6.3,23.6,6.3
0.6652,8.0596,6.2,22.8,6.2
0.6833,8.0597,6.7,21.3,6.7
0.7015,8.0598,7.7,19.3,7.7
0.7196,8.0599,9.1,17.3,9.1
0.7377,8.06,10.7,15.3,10.7
0.7559,8.0601,12.3,13.3,12.3
0.774,8.0602,11.3,11.4,11.3
1.1187,8.0619,10.6,10.6,10.6
0.5925,8.0773,11.0,28.3,11.0
0.6107,8.0774,9.7,26.9,9.7
0.6288,8.0775,8.8,25.3,8.8
0.6469,8.0776,8.3,23.7,8.3
0.6651,8.0777,8.2,22.3,8.2
0.6832,8.0778,8.6,20.9,8.6
0.7013,8.0779,9.4,19.2,9.4
0.7195,8.078,10.6,17.2,10.6
0.7376,8.0781,11.9,15.2,11.9
0.7558,8.0782,13.2,13.2,13.2
0.7739,8.0783,11.2,11.2,11.2
1.1186,8.08,11.5,11.5,11.5
1.1367,8.0801,11.4,11.4,11.4
1.1549,8.0802,10.6,10.6,10.6
1.173,8.0803,10.0,10.0,10.0
0.5924,8.0953,12.5,27.5,12.5
0.6106,8.0955,11.5,25.8,11.5
0.6287,8.0956,10.7,24.1,10.7
0.6468,8.0957,10.2,22.5,10.2
0.665,8.0958,10.2,20.9,10.2
0.6831,8.0959,10.5,19.4,10.5
0.7012,8.096,11.2,18.0,11.2
0.7194,8.0961,12.2,16.8,12.2
0.7375,8.0962,13.4,15.4,13.4
0.7557,8.0963,13.4,13.4,13.4
0.7738,8.0964,11.4,11.5,11.4
1.1003,8.098,10.1,10.1,10.1
1.1185,8.0981,12.0,12.0,12.0
1.1366,8.0982,13.2,13.2,13.2
1.1548,8.0983,12.5,12.5,12.5
1.1729,8.0984,11.1,11.1,11.1
0.5923,8.1134,14.2,26.6,14.2
0.6104,8.1135,13.3,24.8,13.3
0.6286,8.1136,12.6,23.1,12.6
0.6467,8.1137,12.2,21.4,12.2
0.6649,8.1138,12.2,19.7,12.2
0.683,8.1139,12.5,18.1,12.5
0.7011,8.114,13.0,16.6,13.0
0.7193,8.1141,13.9,15.2,13.9
0.7374,8.1143,14.0,14.0,14.0
0.7556,8.1144,12.9,12.9,12.9
0.7737,8.1145,11.9,12.0,11.9
0.7918,8.1145,10.1,10.2,10.1
1.1003,8.1161,11.1,11.1,11.1
1.1184,8.1162,11.9,11.9,11.9
1.1366,8.1163,11.8,11.8,11.8
1.1547,8.1164,11.9,11.9,11.9
1.1728,8.1164,11.9,11.9,11.9
1.191,8.1165,10.2,10.2,10.2
0.6103,8.1316,15.1,24.0,15.1
0.6285,8.1317,14.5,22.1,14.5
0.6466,8.1318,14.2,20.3,14.2
0.6648,8.1319,14.2,18.6,14.2
0.6829,8.132,14.4,16.9,14.4
0.701,8.1321,14.9,15.3,14.9
0.7192,8.1322,13.8,13.8,13.8
0.7373,8.1323,12.4,12.4,12.4
0.7555,8.1324,11.2,11.2,11.2
0.7736,8.1325,10.3,10.3,10.3
1.082,8.1341,10.7,10.8,10.8
1.1002,8.1342,10.5,10.6,10.6
1.1728,8.1345,10.6,10.6,10.6
1.1909,8.1346,11.4,11.4,11.4
0.6102,8.1497,17.0,23.2,17.0
0.6284,8.1498,16.5,21.4,16.5
0.6465,8.1499,16.2,19.5,16.2
0.6647,8.15,16.2,17.7,16.2
0.6828,8.1501,15.9,15.9,15.9
0.7009,8.1502,14.1,14.1,14.1
0.7191,8.1503,12.5,12.5,12.5
0.7372,8.1504,11.0,11.0,11.0
1.209,8.1528,11.2,11.2,11.2
1.2271,8.1528,10.4,10.4,10.4
0.6101,8.1678,18.9,22.7,18.9
0.6283,8.1679,18.5,20.7,18.5
0.6464,8.168,18.2,18.8,18.2
0.6646,8.1681,16.9,16.9,16.9
0.6827,8.1682,15.0,15.0,15.0
0.7008,8.1683,13.2,13.2,13.2
0.719,8.1684,11.4,11.4,11.4
1.227,8.1709,11.5,11.5,11.5
1.2452,8.171,11.5,11.5,11.5
1.2633,8.1711,11.1,11.1,11.1
1.4267,8.1718,10.2,10.2,10.2
0.61,8.1858,20.9,22.3,20.9
0.6282,8.1859,20.3,20.3,20.3
0.6463,8.186,18.3,18.3,18.3
0.6644,8.1861,16.4,16.4,16.4
0.6826,8.1862,14.4,14.4,14.4
0.7007,8.1864,12.5,12.5,12.5
0.7189,8.1865,10.6,10.6,10.6
1.227,8.189,10.7,10.7,10.7
1.2451,8.1891,12.6,12.6,12.6
1.2633,8.1892,12.5,12.5,12.5
1.2814,8.1892,11.2,11.2,11.2
1.2996,8.1893,10.2,10.2,10.2
1.4085,8.1898,10.4,10.4,10.4
1.4266,8.1898,11.6,11.6,11.6
1.4448,8.1899,10.2,10.3,10.2
0.6099,8.2039,22.0,22.0,22.0
0.6281,8.204,20.0,20.0,20.0
0.6462,8.2041,18.1,18.1,18.1
0.6643,8.2042,16.1,16.1,16.1
0.6825,8.2043,14.1,14.1,14.1
0.7006,8.2044,12.1,12.1,12.1
0.7188,8.2045,10.1,10.1,10.1
1.2269,8.2071,10.2,10.2,10.2
1.245,8.2072,12.1,12.1,12.1
1.2632,8.2072,14.0,14.0,14.0
1.2813,8.2073,12.9,12.9,12.9
1.2995,8.2074,11.9,12.0,11.9
1.3176,8.2075,11.1,11.2,11.1
1.3358,8.2076,10.6,10.7,10.6
1.3539,8.2076,10.4,10.5,10.4
1.3721,8.2077,10.7,10.7,10.7
1.3902,8.2078,11.2,11.2,11.2
1.4084,8.2078,12.1,12.1,12.1
1.4265,8.2079,12.8,12.9,12.8
1.4447,8.208,11.1,11.1,11.1
0.6279,8.2221,20.0,20.0,20.0
0.6461,8.2222,18.0,18.0,18.0
0.6642,8.2223,16.0,16.0,16.0
0.6824,8.2224,14.0,14.0,14.0
0.7005,8.2225,12.0,12.0,12.0
0.7187,8.2226,10.0,10.0,10.0
1.2268,8.2252,10.0,10.0,10.0
1.2449,8.2253,12.0,12.0,12.0
1.2631,8.2253,14.0,14.0,14.0
1.2812,8.2254,14.6,14.6,14.6
1.2994,8.2255,13.7,13.8,13.7
1.3176,8.2256,13.0,13.1,13.0
1.3357,8.2256,12.6,12.7,12.6
1.3539,8.2257,12.4,12.5,12.4
1.372,8.2258,12.6,12.7,12.6
1.3902,8.2259,13.1,13.1,13.1
1.4083,8.2259,13.9,13.9,13.9
1.4265,8.226,13.8,13.9,13.8
1.4446,8.2261,11.9,12.0,12.2
1.4628,8.2261,10.0,10.0,10.7
0.646,8.2403,18.2,18.2,18.2
0.6641,8.2404,16.2,16.2,16.2
0.6823,8.2405,14.2,14.2,14.2
0.7004,8.2406,12.3,12.3,12.3
0.7186,8.2407,10.3,10.3,10.3
0.9,8.2417,8.4,10.0,8.4
1.2267,8.2433,10.2,10.2,10.2
1.2449,8.2433,12.2,12.2,12.2
1.263,8.2434,14.2,14.2,14.2
1.2812,8.2435,14.2,14.2,14.2
1.2993,8.2436,13.0,13.0,13.0
1.3175,8.2436,12.1,12.1,12.1
1.3356,8.2437,11.4,11.4,11.4
1.3538,8.2438,11.1,11.1,11.1
1.3719,8.2439,11.1,11.1,11.1
1.3901,8.2439,11.4,11.4,11.4
1.4082,8.244,12.1,12.1,12.1
1.4264,8.2441,13.1,13.1,13.1
1.4445,8.2442,11.7,11.7,13.4
1.4627,8.2442,9.7,9.7,11.5
0.6459,8.2583,18.5,18.5,18.5
0.664,8.2584,16.6,16.6,16.6
0.6822,8.2586,14.7,14.7,14.7
0.7003,8.2587,12.8,12.8,12.8
0.7185,8.2588,11.0,11.0,11.0
0.8999,8.2598,10.0,10.9,10.0
1.2266,8.2613,10.9,10.9,10.9
1.2448,8.2614,12.7,12.7,12.7
1.2629,8.2615,14.2,14.2,14.2
1.2811,8.2616,12.7,12.7,12.7
1.2992,8.2617,11.4,11.4,11.4
1.3174,8.2617,10.3,10.3,10.3
1.4082,8.2621,10.3,10.3,10.3
1.4263,8.2622,11.4,11.4,11.4
1.4445,8.2622,11.7,11.8,12.7
1.4626,8.2623,9.7,9.8,12.1
1.4808,8.2624,7.8,7.8,10.1
0.7002,8.2767,13.6,13.6,13.6
0.7184,8.2768,11.9,11.9,11.9
0.7365,8.2769,10.3,10.3,10.3
0.8817,8.2777,10.3,10.3,10.3
1.2266,8.2794,11.7,11.7,11.7
1.2447,8.2795,13.5,13.5,13.5
1.2629,8.2796,13.0,13.0,13.0
1.281,8.2797,11.4,11.4,11.4
1.4444,8.2803,11.4,11.4,11.4
1.4626,8.2804,10.2,10.3,12.1
1.4807,8.2805,8.4,8.4,10.1
0.7364,8.295,11.7,11.7,11.7
0.7545,8.2951,10.4,10.4,10.4
0.8634,8.2957,10.4,10.4,10.4
0.8816,8.2958,11.0,11.0,11.0
1.2083,8.2974,10.7,10.7,10.7
1.2265,8.2975,12.5,12.5,12.5
1.2446,8.2976,13.9,13.9,13.9
1.2628,8.2977,12.1,12.1,12.1
1.2809,8.2977,10.3,10.3,10.3
1.4443,8.2984,10.3,10.3,10.3
1.4625,8.2985,11.1,11.1,12.1
1.4806,8.2986,9.4,9.4,10.4
0.7363,8.3131,13.2,13.2,13.2
0.7544,8.3132,12.1,12.1,12.1
0.7726,8.3133,11.2,11.2,11.2
0.7907,8.3134,10.7,10.7,10.7
0.8089,8.3135,10.5,10.5,10.5
0.827,8.3136,10.7,10.7,10.7
0.8452,8.3137,11.2,11.2,11.2
0.8633,8.3138,11.4,11.5,11.5
0.8815,8.3139,10.7,10.7,10.7
1.2082,8.3155,11.7,11.7,11.7
1.2264,8.3156,13.4,13.4,13.4
1.2445,8.3157,13.3,13.3,13.3
1.2627,8.3157,11.4,11.4,11.4
1.4624,8.3166,11.4,11.4,11.4
1.4806,8.3166,10.7,10.7,11.2
0.7362,8.3312,14.8,14.8,14.8
0.7543,8.3313,13.9,13.9,13.9
0.7725,8.3314,13.1,13.1,13.1
0.7906,8.3315,12.7,12.7,12.7
0.8088,8.3316,12.5,12.5,12.5
0.8269,8.3317,11.8,11.9,11.9
0.8451,8.3318,10.6,10.7,10.7
1.19,8.3335,11.0,11.0,11.0
1.2082,8.3336,12.6,12.6,12.6
1.2263,8.3337,13.5,13.5,13.5
1.2445,8.3337,12.7,12.7,12.7
1.2626,8.3338,11.0,11.0,11.0
1.4623,8.3346,11.0,11.0,11.0
1.4805,8.3347,12.1,12.2,12.1
1.4987,8.3348,10.5,10.6,10.5
0.7361,8.3492,16.6,16.6,16.6
0.7542,8.3494,15.7,15.7,15.7
0.7724,8.3495,15.0,15.0,15.0
0.7905,8.3496,13.8,13.8,13.8
0.8087,8.3497,12.1,12.1,12.1
0.8268,8.3498,10.5,10.5,10.5
1.1718,8.3515,10.6,10.6,10.6
1.1899,8.3516,12.1,12.1,12.1
1.2081,8.3517,13.0,13.0,13.0
1.2262,8.3517,11.8,11.8,11.8
1.2444,8.3518,10.8,10.8,10.8
1.2625,8.3519,10.2,10.2,10.2
1.4623,8.3527,11.0,11.0,11.0
1.4804,8.3528,12.9,13.0,12.9
1.4986,8.3529,10.9,11.0,11.0
0.7178,8.3672,19.3,19.3,19.3
0.736,8.3673,18.3,18.3,18.3
0.7541,8.3674,16.7,16.8,16.8
0.7723,8.3675,14.8,14.9,14.9
0.7904,8.3676,12.9,13.0,13.0
0.8086,8.3677,11.1,11.1,11.1
1.1535,8.3695,9.6,10.1,9.6
1.1717,8.3696,11.3,11.7,11.3
1.1898,8.3697,13.0,13.0,13.0
1.208,8.3697,11.5,11.5,11.5
1.2261,8.3698,10.1,10.1,10.1
1.4622,8.3708,11.3,11.3,11.3
1.4804,8.3709,13.3,13.3,13.3
1.4985,8.371,11.6,11.8,11.7
1.5167,8.371,9.8,10.0,9.9
0.7177,8.3853,20.2,20.3,20.3
0.7359,8.3854,18.3,18.3,18.3
0.754,8.3855,16.3,16.3,16.3
0.7722,8.3856,14.3,14.3,14.3
0.7903,8.3857,12.3,12.4,12.4
0.8085,8.3858,10.4,10.4,10.4
1.1716,8.3877,10.4,10.7,10.4
1.1898,8.3877,11.9,11.9,11.9
1.2079,8.3878,10.2,10.2,10.2
1.444,8.3888,10.2,10.2,10.2
1.4621,8.3889,12.0,12.0,12.0
1.4803,8.389,13.8,13.8,13.8
1.4985,8.389,12.4,12.8,12.4
1.5166,8.3891,10.4,11.2,10.4
0.6995,8.4033,21.8,21.8,21.8
0.7176,8.4034,19.9,19.9,19.9
0.7358,8.4035,17.9,17.9,17.9
0.7539,8.4036,15.9,15.9,15.9
0.7721,8.4037,14.0,14.0,14.0
0.7902,8.4038,12.1,12.1,12.1
0.8084,8.4039,10.1,10.1,10.1
1.1715,8.4057,9.8,10.0,9.8
1.1897,8.4058,10.8,11.1,11.1
1.4439,8.4069,11.2,11.2,11.2
1.4621,8.407,12.9,12.9,12.9
1.4802,8.4071,14.6,14.6,14.6
1.4984,8.4071,12.8,14.0,12.8
1.5165,8.4072,10.9,12.5,10.9
1.5347,8.4073,8.9,11.3,8.9
1.5529,8.4073,7.0,10.2,7.0
0.6812,8.4212,23.6,23.6,23.6
0.6994,8.4213,21.6,21.6,21.6
0.7175,8.4214,19.6,19.6,19.6
0.7357,8.4216,17.6,17.6,17.6
0.7538,8.4217,15.6,15.6,15.6
0.772,8.4218,13.6,13.6,13.6
0.7901,8.4219,11.7,11.7,11.7
1.1896,8.4239,8.8,10.5,10.5
1.4257,8.4249,10.1,10.3,10.3
1.4438,8.425,10.8,10.9,10.9
1.462,8.4251,11.9,11.9,11.9
1.4802,8.4251,13.0,13.0,13.0
1.4983,8.4252,13.0,14.3,13.0
1.5165,8.4253,11.0,14.1,11.0
1.5346,8.4253,9.0,13.0,9.0
1.5528,8.4254,7.0,12.1,7.0
1.571,8.4255,5.1,11.5,5.1
1.5891,8.4255,3.1,11.2,3.1
1.6073,8.4256,1.5,11.3,1.5
1.6255,8.4257,1.6,11.7,1.6
1.6436,8.4257,3.3,12.4,3.3
0.6629,8.4392,25.6,25.6,25.6
0.6811,8.4393,23.6,23.6,23.6
0.6993,8.4394,21.6,21.6,21.6
0.7174,8.4395,19.6,19.6,19.6
0.7356,8.4396,17.6,17.6,17.6
0.7537,8.4397,15.6,15.6,15.6
0.7719,8.4398,13.6,13.6,13.6
0.79,8.4399,11.6,11.6,11.6
1.1895,8.442,6.8,10.3,10.3
1.4619,8.4432,10.2,10.2,10.2
1.4801,8.4432,11.5,11.5,11.5
1.4982,8.4433,12.9,12.9,12.9
1.5164,8.4434,11.4,14.5,11.4
1.5346,8.4434,9.5,14.7,9.5
1.5527,8.4435,7.6,13.9,7.6
1.5709,8.4436,5.9,13.4,5.9
1.5891,8.4436,4.3,13.2,4.3
1.6072,8.4437,3.3,13.2,3.3
1.6254,8.4438,3.4,13.6,3.4
0.6628,8.4573,24.4,24.4,24.4
0.681,8.4574,23.5,23.7,23.5
0.6991,8.4575,21.6,21.7,21.6
0.7173,8.4576,19.6,19.7,19.6
0.7355,8.4577,17.6,17.7,17.6
0.7536,8.4578,15.6,15.7,15.6
0.7718,8.4579,13.6,13.8,13.6
0.7899,8.458,11.6,11.8,11.6
1.1713,8.46,4.7,10.3,10.3
1.1894,8.4601,4.9,10.6,10.6
1.48,8.4613,10.1,10.1,10.1
1.4982,8.4614,11.7,11.7,11.7
1.5163,8.4614,12.1,13.4,12.1
1.5345,8.4615,10.3,15.2,10.3
1.5527,8.4616,8.6,15.8,8.6
1.5708,8.4617,7.1,15.4,7.1
1.589,8.4617,5.9,15.2,5.9
1.6072,8.4618,5.3,15.2,5.3
1.6253,8.4618,5.3,15.6,5.3
1.6435,8.4619,6.0,16.1,6.0
0.6627,8.4754,22.4,22.4,22.4
0.6809,8.4755,22.8,22.8,22.8
0.699,8.4756,21.5,22.0,21.5
0.7172,8.4757,19.5,20.1,19.5
0.7354,8.4758,17.5,18.1,17.5
0.7535,8.4759,15.5,16.2,15.5
0.7717,8.476,13.5,14.3,13.5
0.7898,8.4761,11.5,12.4,11.5
0.808,8.4762,9.5,10.5,9.5
1.1712,8.4781,2.8,11.1,11.1
